Matchup,Open,Closing Range Start,Closing Range End,Movement,Date
Ben Rothwell,-150.0,-178.0,-160.0,-0.045,2021-11-13
Ben Saunders,-240.0,-235.0,-235.0,-0.017,2007-12-08
Ben Saunders,-290.0,-270.0,-270.0,0.0,2008-08-09
Ben Saunders,-385.0,-400.0,-400.0,0.037,2008-12-10
Ben Saunders,160.0,165.0,165.0,0.009,2009-06-13
Ben Saunders,175.0,210.0,210.0,-0.0069999999999999,2009-11-21
Ben Saunders,250.0,295.0,295.0,0.0,2010-03-27
Ben Saunders,-170.0,-300.0,-300.0,0.3429999999999999,2010-08-07
Ben Saunders,-350.0,-400.0,-385.0,0.201,2014-08-23
Ben Saunders,-275.0,-250.0,-250.0,0.078,2014-12-13
Ben Saunders,-155.0,110.0,115.0,-0.2269999999999999,2015-07-25
Ben Saunders,-155.0,-150.0,-150.0,0.013,2016-01-17
Ben Saunders,-110.0,110.0,115.0,-0.01,2017-01-15
Ben Saunders,-125.0,105.0,115.0,-0.057,2017-05-28
Ben Saunders,165.0,210.0,210.0,-0.047,2018-02-24
Ben Saunders,160.0,140.0,140.0,0.092,2018-06-01
Ben Saunders,145.0,230.0,235.0,-0.128,2018-09-22
Ben Saunders,250.0,465.0,500.0,-0.115,2018-11-03
Ben Saunders,125.0,175.0,205.0,0.2239999999999999,2019-04-27
Ben Saunders,275.0,275.0,295.0,-0.004,2019-12-14
Ben Sosoli,350.0,275.0,325.0,-0.125,2019-10-18
Ben Sosoli,120.0,132.0,140.0,0.072,2020-02-22
Ben Wall,260.0,525.0,540.0,0.431,2013-12-06
Ben Wall,160.0,250.0,260.0,-0.102,2014-05-10
Benardo Sopaj,-295.0,-375.0,-375.0,0.156,2024-11-10
Benardo Sopaj,-298.0,-350.0,-295.0,0.026,2025-01-18
Beneil Dariush,175.0,160.0,185.0,-0.0069999999999999,2014-01-15
Beneil Dariush,-210.0,-270.0,-255.0,-0.07,2014-04-11
Beneil Dariush,100.0,120.0,130.0,0.111,2014-08-23
Beneil Dariush,180.0,210.0,225.0,0.119,2014-10-25
Beneil Dariush,150.0,100.0,110.0,0.1669999999999999,2015-03-14
Beneil Dariush,-140.0,-175.0,-165.0,-0.079,2015-04-18
Beneil Dariush,175.0,120.0,120.0,-0.25,2015-08-08
Beneil Dariush,-210.0,-165.0,-162.0,0.083,2016-04-16
Beneil Dariush,-180.0,-140.0,-140.0,0.093,2016-06-04
Beneil Dariush,130.0,-120.0,-115.0,0.1939999999999999,2016-11-05
Beneil Dariush,140.0,140.0,143.0,0.038,2017-03-11
Beneil Dariush,-230.0,-230.0,-222.0,0.005,2017-10-07
Beneil Dariush,-350.0,-430.0,-420.0,-0.0409999999999999,2018-03-03
Beneil Dariush,-190.0,-172.0,-153.0,0.0559999999999999,2018-11-10
Beneil Dariush,-185.0,-227.0,-220.0,-0.062,2019-03-09
Beneil Dariush,-195.0,-190.0,-175.0,0.012,2019-10-26
Beneil Dariush,-155.0,-180.0,-165.0,-0.043,2020-03-07
Beneil Dariush,-160.0,-230.0,-200.0,-0.1159999999999999,2020-08-08
Beneil Dariush,105.0,-140.0,-110.0,-0.139,2021-02-06
Beneil Dariush,105.0,-163.0,-146.0,-0.243,2021-05-15
Beneil Dariush,260.0,290.0,290.0,0.077,2022-02-26
Beneil Dariush,135.0,170.0,220.0,0.206,2022-10-22
Beneil Dariush,-120.0,210.0,255.0,0.4379999999999999,2023-12-03
Beneil Dariush,165.0,135.0,135.0,-0.128,2025-01-19
Beneil Dariush,133.0,-113.0,136.0,-0.171,2025-06-29
Beneil Dariush,215.0,163.0,190.0,0.036,2025-11-16
Benito Lopez,-120.0,-125.0,-124.0,-0.019,2017-12-09
Benito Lopez,225.0,150.0,170.0,-0.245,2019-02-17
Benito Lopez,-265.0,-105.0,100.0,0.301,2019-07-13
Benito Lopez,220.0,250.0,358.0,0.19,2022-11-05
Benoit Saint-Denis,-275.0,-170.0,-160.0,0.151,2022-06-04
Benoit Saint-Denis,-188.0,-340.0,-295.0,-0.159,2022-09-03
Benoit Saint-Denis,175.0,220.0,235.0,0.154,2023-07-01
Benoit Saint-Denis,-110.0,-220.0,-160.0,-0.262,2023-09-02
Benoit Saint-Denis,-188.0,-250.0,-225.0,-0.08,2023-11-12
Benoit Saint-Denis,145.0,-225.0,-195.0,-0.675,2024-03-10
Benoit Saint-Denis,-250.0,-300.0,-258.0,-0.032,2024-09-28
Benoit Saint-Denis,140.0,140.0,150.0,0.024,2025-05-11
Benoit Saint-Denis,175.0,130.0,160.0,0.071,2025-09-06
Benoit Saint-Denis,-255.0,-225.0,-225.0,0.036,2025-11-16
Benoit St.Denis,190.0,185.0,850.0,-0.163,2021-10-30
Benson Henderson,-165.0,-150.0,-150.0,0.063,2011-04-30
Benson Henderson,140.0,160.0,160.0,0.077,2011-08-14
Benson Henderson,-240.0,-265.0,-265.0,-0.0289999999999999,2011-11-12
Benson Henderson,105.0,120.0,120.0,0.068,2012-02-25
Benson Henderson,-170.0,-200.0,-185.0,-0.046,2012-08-11
Benson Henderson,-170.0,-225.0,-200.0,-0.081,2012-12-08
Benson Henderson,-280.0,-340.0,-310.0,-0.038,2013-04-20
Benson Henderson,-160.0,-115.0,100.0,0.156,2013-08-31
Benson Henderson,-210.0,-320.0,-310.0,0.297,2014-01-25
Benson Henderson,-245.0,-225.0,-225.0,0.025,2014-06-07
Benson Henderson,-300.0,-525.0,-510.0,-0.118,2014-08-23
Benson Henderson,-160.0,-135.0,-135.0,0.066,2015-01-18
Benson Henderson,-110.0,148.0,155.0,0.242,2015-02-14
Benson Henderson,-210.0,-230.0,-200.0,-0.008,2015-11-28
Bentley Syler,-170.0,119.0,135.0,-0.369,2015-03-21
Bernardo Magalhaes,-210.0,-125.0,-125.0,-0.209,2012-02-15
Bernardo Magalhaes,160.0,205.0,210.0,-0.065,2012-06-08
Besam Yousef,230.0,295.0,295.0,-0.0279999999999999,2012-04-14
Besam Yousef,130.0,110.0,110.0,0.118,2013-04-06
Bethe Correia,150.0,145.0,160.0,0.033,2013-12-06
Bethe Correia,-105.0,120.0,125.0,-0.009,2014-04-26
Bethe Correia,-160.0,-145.0,-143.0,0.039,2014-08-30
Bethe Correia,700.0,1000.0,1100.0,-0.0069999999999999,2015-08-01
Bethe Correia,185.0,180.0,180.0,0.06,2016-04-16
Bethe Correia,110.0,105.0,110.0,0.064,2016-09-10
Bethe Correia,-105.0,-110.0,-110.0,0.088,2017-03-11
Bethe Correia,250.0,385.0,435.0,-0.083,2017-06-17
Bethe Correia,150.0,300.0,325.0,-0.252,2019-05-11
Bethe Correia,170.0,240.0,250.0,-0.083,2019-09-21
Bethe Correia,-105.0,130.0,145.0,-0.148,2020-07-25
Bethe Correia,235.0,400.0,625.0,-0.1939999999999999,2021-10-02
Bevon Lewis,-125.0,-170.0,-161.0,-0.126,2018-12-29
Bevon Lewis,-155.0,-180.0,-170.0,0.147,2019-06-08
Bevon Lewis,-350.0,-410.0,-370.0,0.079,2020-01-25
Bevon Lewis,-105.0,-111.0,104.0,0.009,2020-11-07
Bia Mesquita,-600.0,-1050.0,-1000.0,0.25,2022-12-15
Bill Algeo,185.0,210.0,240.0,0.128,2020-08-29
Bill Algeo,130.0,155.0,175.0,0.139,2020-11-28
Bill Algeo,-120.0,-145.0,-125.0,-0.05,2021-05-22
Bill Algeo,-110.0,120.0,145.0,0.163,2022-01-15
Bill Algeo,-120.0,-220.0,-200.0,-0.246,2022-07-16
Bill Algeo,-160.0,100.0,115.0,0.2189999999999999,2022-09-17
Bill Algeo,-175.0,-139.0,-130.0,0.094,2023-03-25
Bill Algeo,-139.0,-230.0,-200.0,-0.161,2023-04-15
Bill Algeo,-138.0,-110.0,105.0,0.125,2023-10-07
Bill Algeo,-180.0,-320.0,-222.0,-0.145,2024-03-31
Bill Algeo,-163.0,-235.0,-215.0,-0.12,2024-07-21
Billy Elekana,225.0,300.0,360.0,0.239,2025-01-19
Billy Elekana,210.0,210.0,235.0,-0.008,2025-07-26
Billy Elekana,-350.0,-275.0,-250.0,-0.218,2025-11-01
Billy Goff,125.0,110.0,125.0,0.0139999999999999,2023-08-26
Billy Goff,140.0,123.0,136.0,0.062,2024-05-11
Billy Miles,300.0,320.0,320.0,0.048,2007-12-08
Billy Quarantillo,-230.0,-357.0,-305.0,0.256,2019-12-07
Billy Quarantillo,-170.0,-125.0,-111.0,-0.173,2020-05-30
Billy Quarantillo,-300.0,-303.0,-270.0,-0.0289999999999999,2020-09-12
Billy Quarantillo,-140.0,-190.0,-177.0,0.154,2020-12-12
Billy Quarantillo,-135.0,120.0,140.0,-0.313,2021-07-17
Billy Quarantillo,145.0,137.0,165.0,-0.031,2021-11-06
Billy Quarantillo,-210.0,-185.0,-164.0,-0.148,2022-12-10
Billy Quarantillo,-180.0,-155.0,-150.0,-0.143,2023-03-25
Billy Quarantillo,-155.0,-182.0,-165.0,0.0289999999999999,2023-04-15
Billy Quarantillo,-175.0,-175.0,-160.0,-0.013,2023-08-05
Billy Quarantillo,-150.0,-210.0,-163.0,0.18,2024-12-15
Billy Quartantillo,-156.0,-105.0,112.0,-0.246,2024-03-24
Billy Ray Goff,-340.0,-440.0,-400.0,0.119,2025-06-01
Blagoy Ivanov,-120.0,165.0,165.0,-0.201,2018-07-14
Blagoy Ivanov,-130.0,100.0,108.0,-0.057,2019-03-09
Blagoy Ivanov,125.0,140.0,140.0,0.063,2019-06-08
Blagoy Ivanov,130.0,-111.0,-102.0,-0.183,2019-11-02
Blagoy Ivanov,-140.0,100.0,110.0,0.168,2020-05-30
Blagoy Ivanov,-170.0,-158.0,-145.0,0.04,2022-05-07
Blagoy Ivanov,155.0,115.0,128.0,0.093,2023-02-04
Blagoy Ivanov,-105.0,105.0,125.0,-0.047,2023-07-01
Blake Bilder,110.0,120.0,130.0,-0.064,2023-02-11
Blake Bilder,-210.0,-295.0,-200.0,-0.075,2023-06-10
Blake Bilder,-110.0,120.0,175.0,0.257,2024-02-03
Blood Diamond,130.0,142.0,180.0,-0.107,2022-07-30
Blood Diamond,200.0,260.0,260.0,0.1669999999999999,2023-09-09
Bo Nickal,-1800.0,-2500.0,-1400.0,-0.005,2023-03-04
Bo Nickal,-2500.0,-2200.0,-1300.0,0.015,2023-07-09
Bo Nickal,-1100.0,-1800.0,-1430.0,0.161,2024-04-14
Bo Nickal,-910.0,-1430.0,-1100.0,-0.027,2024-11-17
Bo Nickal,-205.0,-225.0,-218.0,-0.026,2025-05-04
Bo Nickal,-160.0,-220.0,-175.0,0.07,2025-11-16
Bobby Fish,,,,,2023-05-06
Bobby Green,235.0,345.0,380.0,-0.083,2013-02-02
Bobby Green,-140.0,-110.0,105.0,0.13,2013-11-06
Bobby Green,170.0,120.0,140.0,0.139,2013-12-14
Bobby Green,180.0,335.0,340.0,-0.104,2014-07-26
Bobby Green,-125.0,130.0,140.0,-0.122,2014-11-22
Bobby Green,160.0,155.0,160.0,0.045,2016-06-04
Bobby Green,180.0,270.0,300.0,-0.076,2017-04-15
Bobby Green,180.0,155.0,155.0,0.113,2017-10-07
Bobby Green,-160.0,-182.0,-175.0,-0.043,2018-01-27
Bobby Green,175.0,200.0,210.0,0.104,2018-12-15
Bobby Green,125.0,110.0,135.0,0.047,2019-11-16
Bobby Green,-275.0,-278.0,-250.0,0.009,2020-06-20
Bobby Green,150.0,115.0,130.0,0.073,2020-08-01
Bobby Green,-185.0,-340.0,-330.0,0.332,2020-09-12
Bobby Green,-170.0,-333.0,-280.0,0.294,2020-10-31
Bobby Green,125.0,220.0,240.0,-0.26,2021-08-07
Bobby Green,-130.0,-222.0,-185.0,-0.1689999999999999,2021-11-06
Bobby Green,-110.0,-165.0,-140.0,0.17,2022-02-12
Bobby Green,350.0,500.0,660.0,-0.105,2022-02-26
Bobby Green,-110.0,130.0,150.0,-0.1989999999999999,2022-12-17
Bobby Green,-225.0,-275.0,-264.0,0.085,2023-04-22
Bobby Green,-350.0,-400.0,-350.0,-0.009,2023-07-30
Bobby Green,280.0,340.0,450.0,-0.08,2023-10-08
Bobby Green,145.0,145.0,145.0,,2023-12-02
Bobby Green,180.0,124.0,154.0,-0.157,2023-12-03
Bobby Green,-218.0,-210.0,-180.0,-0.073,2024-04-13
Bobby Green,-192.0,-110.0,150.0,-0.526,2024-07-28
Bobby Moffett,175.0,-130.0,-120.0,0.306,2018-11-10
Bobby Moffett,-185.0,-155.0,-150.0,-0.052,2019-03-23
Bobby Moffett,170.0,137.0,145.0,-0.1159999999999999,2019-08-10
Bobby Nash,130.0,110.0,115.0,0.093,2017-01-28
Bobby Nash,135.0,165.0,167.0,-0.031,2017-07-16
Bobby Nash,-280.0,-335.0,-300.0,-0.032,2017-11-25
Bobby Voelker,140.0,175.0,175.0,0.127,2013-03-16
Bobby Voelker,250.0,300.0,315.0,0.142,2013-07-27
Bobby Voelker,-150.0,-145.0,-130.0,0.034,2013-12-28
Bobby Voelker,-130.0,-118.0,-105.0,0.065,2014-06-07
Bogdan Grad,-105.0,-108.0,108.0,-0.031,2025-02-01
Bogdan Grad,180.0,205.0,210.0,-0.054,2025-06-21
Bogdan Guskov,110.0,145.0,154.0,-0.074,2023-09-02
Bogdan Guskov,110.0,105.0,120.0,-0.016,2024-02-10
Bogdan Guskov,136.0,148.0,165.0,-0.054,2024-04-28
Bogdan Guskov,-300.0,-480.0,-400.0,0.239,2025-01-19
Bogdan Guskov,160.0,160.0,164.0,0.008,2025-07-26
Bojan Mihajlovic,435.0,450.0,450.0,0.024,2016-07-23
Bojan Mihajlovic,175.0,187.0,210.0,0.011,2017-01-15
Bojan Mihajlovic,335.0,475.0,485.0,0.25,2017-09-02
Bojan Velickovic,-170.0,-205.0,-175.0,-0.0409999999999999,2016-04-10
Bojan Velickovic,135.0,195.0,215.0,-0.1159999999999999,2016-07-30
Bojan Velickovic,-210.0,-162.0,-160.0,-0.079,2016-12-17
Bojan Velickovic,-135.0,104.0,110.0,0.159,2017-05-28
Bojan Velickovic,110.0,160.0,165.0,-0.088,2017-09-02
Bojan Velickovic,135.0,118.0,120.0,0.086,2017-11-18
Bolaji Oki,-198.0,-200.0,-172.0,0.0289999999999999,2024-02-10
Bolaji Oki,-205.0,-190.0,-155.0,-0.111,2024-09-28
Bolaji Oki,-155.0,-185.0,-185.0,0.08,2025-02-01
Bolaji Oki,-345.0,-620.0,-575.0,-0.105,2025-05-31
Bolaji Oki,163.0,110.0,135.0,-0.174,2025-09-06
Boston Salmon,-150.0,-175.0,-152.0,-0.0279999999999999,2019-04-13
Boston Salmon,-165.0,-159.0,-150.0,0.026,2019-10-18
Brad Blackburn,-215.0,-220.0,-220.0,-0.0069999999999999,2008-07-19
Brad Blackburn,145.0,140.0,140.0,-0.021,2008-12-27
Brad Blackburn,-135.0,-120.0,-120.0,0.051,2009-06-20
Brad Blackburn,135.0,125.0,125.0,-0.044,2010-01-11
Brad Blackburn,-170.0,-160.0,-160.0,0.0,2010-04-10
Brad Katona,-145.0,-265.0,-260.0,0.365,2018-07-06
Brad Katona,-215.0,-175.0,-155.0,-0.095,2018-12-08
Brad Katona,-230.0,138.0,140.0,-0.6729999999999999,2019-05-04
Brad Katona,-185.0,-139.0,-130.0,-0.156,2019-09-14
Brad Katona,-185.0,-192.0,-170.0,-0.012,2023-08-20
Brad Katona,-130.0,-238.0,-192.0,-0.211,2024-01-21
Brad Katona,-549.0,-750.0,-649.0,0.2239999999999999,2024-06-08
Brad Katona,185.0,170.0,185.0,0.004,2024-10-19
Brad Katona,140.0,130.0,145.0,-0.004,2025-05-10
Brad Morris,190.0,210.0,210.0,0.0,2008-04-19
Brad Morris,210.0,220.0,220.0,0.031,2008-09-17
Brad Pickett,105.0,115.0,115.0,0.033,2011-11-05
Brad Pickett,-220.0,-280.0,-280.0,-0.072,2012-04-14
Brad Pickett,-260.0,-160.0,-156.0,-0.152,2012-09-29
Brad Pickett,-160.0,130.0,145.0,-0.33,2012-12-29
Brad Pickett,-180.0,-160.0,-145.0,-0.008,2013-04-06
Brad Pickett,165.0,240.0,290.0,0.2739999999999999,2013-08-17
Brad Pickett,-505.0,-1000.0,-1000.0,-0.089,2014-03-08
Brad Pickett,100.0,135.0,149.0,-0.047,2014-07-19
Brad Pickett,-210.0,-180.0,-175.0,0.0,2014-11-22
Brad Pickett,315.0,500.0,525.0,-0.072,2015-07-11
Brad Pickett,165.0,135.0,135.0,0.109,2016-02-27
Brad Pickett,120.0,130.0,138.0,0.06,2016-10-08
Brad Pickett,280.0,280.0,295.0,0.0279999999999999,2016-12-17
Brad Pickett,-185.0,-150.0,-149.0,0.076,2017-03-18
Brad Riddell,-135.0,-172.0,-161.0,0.2,2019-10-05
Brad Riddell,325.0,110.0,125.0,-0.95,2020-02-22
Brad Riddell,-240.0,-340.0,-333.0,-0.093,2020-09-26
Brad Riddell,120.0,120.0,128.0,0.018,2021-06-12
Brad Riddell,-130.0,-105.0,122.0,-0.179,2021-12-04
Brad Riddell,150.0,120.0,140.0,-0.096,2022-07-02
Brad Riddell,-110.0,-105.0,125.0,-0.083,2022-11-12
Brad Scott,120.0,200.0,215.0,0.286,2012-12-14
Brad Scott,220.0,280.0,295.0,0.175,2013-10-26
Brad Scott,-190.0,-237.0,-225.0,-0.065,2014-03-08
Brad Scott,-110.0,100.0,110.0,0.069,2015-05-09
Brad Scott,-105.0,135.0,135.0,0.1689999999999999,2016-02-27
Brad Scott,125.0,135.0,142.0,0.059,2017-03-18
Brad Scott,165.0,240.0,240.0,0.221,2017-08-05
Brad Scott,160.0,120.0,124.0,-0.171,2018-05-27
Brad Tavares,-240.0,-220.0,-220.0,0.026,2010-06-19
Brad Tavares,-215.0,-280.0,-280.0,-0.08,2011-01-01
Brad Tavares,175.0,205.0,205.0,0.098,2011-07-02
Brad Tavares,-205.0,-160.0,-155.0,0.089,2012-05-15
Brad Tavares,-175.0,-170.0,-160.0,0.06,2012-09-29
Brad Tavares,-120.0,-125.0,-120.0,-0.011,2013-03-02
Brad Tavares,-350.0,-525.0,-500.0,0.318,2013-08-28
Brad Tavares,160.0,240.0,240.0,-0.088,2014-01-15
Brad Tavares,100.0,-153.0,-145.0,-0.1969999999999999,2014-04-19
Brad Tavares,-270.0,-315.0,-305.0,-0.036,2014-08-16
Brad Tavares,-120.0,-130.0,-125.0,-0.0289999999999999,2015-01-03
Brad Tavares,-245.0,-138.0,-135.0,0.186,2015-05-09
Brad Tavares,-210.0,-220.0,-200.0,0.0,2016-09-10
Brad Tavares,135.0,-115.0,-115.0,-0.257,2017-07-07
Brad Tavares,-185.0,-178.0,-175.0,0.016,2017-10-07
Brad Tavares,-190.0,107.0,110.0,0.27,2018-04-14
Brad Tavares,-120.0,-109.0,-105.0,0.027,2018-07-06
Brad Tavares,175.0,137.0,160.0,-0.096,2019-11-02
Brad Tavares,-120.0,100.0,110.0,0.1009999999999999,2021-01-23
Brad Tavares,-190.0,-165.0,-128.0,0.075,2021-07-10
Brad Tavares,-130.0,130.0,160.0,0.281,2022-07-02
Brad Tavares,175.0,190.0,190.0,0.052,2023-01-21
Brad Tavares,-130.0,-175.0,-160.0,-0.109,2023-04-22
Brad Tavares,-270.0,-275.0,-205.0,0.031,2023-08-20
Brad Tavares,170.0,185.0,210.0,0.094,2024-02-11
Brad Tavares,130.0,163.0,200.0,0.19,2024-10-13
Brad Tavares,-210.0,-265.0,-250.0,-0.0579999999999999,2025-04-06
Brad Tavares,-310.0,-230.0,-195.0,-0.2,2025-09-06
Brady Hiestand,140.0,106.0,137.0,-0.057,2021-08-28
Brady Hiestand,-135.0,-200.0,-172.0,-0.119,2022-11-19
Brady Hiestand,,,,,2023-03-25
Brady Hiestand,150.0,115.0,134.0,-0.121,2023-04-22
Brady Hiestand,,,,,2023-08-12
Brady Hiestand,160.0,175.0,230.0,0.156,2024-06-15
Brady Hiestand,-150.0,-150.0,-150.0,,2024-10-19
Brando Pericic,-121.0,-240.0,-215.0,-0.273,2025-09-27
Brandon Davis,-185.0,-140.0,-140.0,-0.114,2018-01-20
Brandon Davis,-195.0,-153.0,-150.0,-0.121,2018-02-18
Brandon Davis,125.0,190.0,195.0,-0.119,2018-05-19
Brandon Davis,600.0,899.0,900.0,-0.023,2018-09-08
Brandon Davis,-105.0,-200.0,-175.0,0.336,2019-04-13
Brandon Davis,145.0,165.0,170.0,0.086,2019-08-17
Brandon Davis,-180.0,-158.0,-155.0,-0.017,2019-09-28
Brandon Davis,250.0,112.0,135.0,0.196,2021-10-16
Brandon Davis,-110.0,122.0,137.0,-0.172,2022-10-15
Brandon Jenkins,170.0,170.0,225.0,0.088,2021-09-18
Brandon Jenkins,220.0,400.0,500.0,0.411,2022-04-16
Brandon Melendez,,,,,2007-06-23
Brandon Moreno,250.0,385.0,450.0,0.324,2016-10-01
Brandon Moreno,-175.0,-190.0,-190.0,-0.03,2016-12-03
Brandon Moreno,-120.0,100.0,105.0,-0.011,2017-04-22
Brandon Moreno,-150.0,-175.0,-170.0,0.16,2017-08-05
Brandon Moreno,-170.0,-110.0,-110.0,-0.205,2018-05-19
Brandon Moreno,135.0,134.0,140.0,0.033,2019-09-21
Brandon Moreno,100.0,137.0,144.0,0.1669999999999999,2019-12-14
Brandon Moreno,145.0,155.0,165.0,0.061,2020-03-14
Brandon Moreno,-205.0,-164.0,-140.0,-0.211,2020-11-21
Brandon Moreno,235.0,250.0,275.0,0.075,2020-12-12
Brandon Moreno,205.0,150.0,194.0,-0.125,2021-06-12
Brandon Moreno,-185.0,-200.0,-180.0,-0.004,2022-01-22
Brandon Moreno,-160.0,-225.0,-200.0,-0.1009999999999999,2022-07-30
Brandon Moreno,-186.0,-200.0,-188.0,0.072,2023-07-09
Brandon Moreno,-250.0,-350.0,-270.0,0.131,2024-02-25
Brandon Moreno,-150.0,-180.0,-165.0,-0.0559999999999999,2024-11-03
Brandon Moreno,-188.0,-278.0,-230.0,0.186,2025-03-30
Brandon Royval,140.0,118.0,125.0,0.085,2020-05-30
Brandon Royval,160.0,170.0,170.0,0.037,2020-09-26
Brandon Royval,175.0,120.0,137.0,-0.211,2020-11-21
Brandon Royval,105.0,132.0,150.0,0.146,2021-08-21
Brandon Royval,-110.0,-185.0,-152.0,0.198,2022-01-15
Brandon Royval,-200.0,-270.0,-250.0,-0.0819999999999999,2022-05-07
Brandon Royval,125.0,160.0,170.0,0.148,2023-04-15
Brandon Royval,205.0,155.0,190.0,-0.105,2023-12-17
Brandon Royval,205.0,210.0,280.0,0.131,2024-02-25
Brandon Royval,150.0,235.0,250.0,0.271,2024-10-13
Brandon Royval,105.0,-125.0,180.0,0.033,2025-06-29
Brandon Thatch,-265.0,-280.0,-270.0,0.147,2013-08-28
Brandon Thatch,-230.0,-400.0,-360.0,-0.136,2013-11-09
Brandon Thatch,-130.0,-173.0,-165.0,0.242,2015-02-14
Brandon Thatch,-160.0,-175.0,-170.0,0.12,2015-07-11
Brandon Thatch,-380.0,-355.0,-335.0,0.06,2016-03-05
Brandon Thatch,-380.0,-155.0,-150.0,0.236,2016-12-30
Brandon Vera,-200.0,-160.0,-160.0,-0.125,2007-10-20
Brandon Vera,-120.0,-190.0,-190.0,0.28,2008-06-07
Brandon Vera,-625.0,-460.0,-460.0,-0.039,2008-07-19
Brandon Vera,-170.0,-190.0,-190.0,0.094,2008-10-18
Brandon Vera,-350.0,-580.0,-580.0,-0.0969999999999999,2009-03-07
Brandon Vera,-140.0,-210.0,-210.0,0.276,2009-08-29
Brandon Vera,135.0,-155.0,-155.0,0.344,2009-11-14
Brandon Vera,200.0,215.0,215.0,0.0289999999999999,2010-03-21
Brandon Vera,125.0,125.0,125.0,0.055,2011-01-01
Brandon Vera,-485.0,-380.0,-380.0,-0.023,2011-10-29
Brandon Vera,200.0,320.0,355.0,-0.08,2012-08-04
Brandon Vera,-110.0,110.0,145.0,-0.0559999999999999,2013-08-31
Brandon Wolff,295.0,310.0,310.0,0.037,2008-12-10
Brandon Wolff,385.0,360.0,360.0,0.0289999999999999,2009-05-23
Braxton Smith,-173.0,140.0,155.0,-0.588,2023-05-06
Brendan Allen,170.0,135.0,140.0,0.113,2019-10-18
Brendan Allen,-140.0,110.0,155.0,-0.28,2020-02-29
Brendan Allen,-250.0,-350.0,-330.0,-0.08,2020-06-27
Brendan Allen,-110.0,-125.0,-122.0,-0.057,2020-11-07
Brendan Allen,105.0,-130.0,-121.0,0.118,2020-11-14
Brendan Allen,-205.0,-175.0,-130.0,-0.222,2021-04-24
Brendan Allen,185.0,-111.0,110.0,-0.4529999999999999,2021-07-24
Brendan Allen,-300.0,-375.0,-305.0,0.054,2021-12-04
Brendan Allen,-350.0,-455.0,-360.0,0.045,2022-02-06
Brendan Allen,-190.0,-333.0,-270.0,0.211,2022-06-12
Brendan Allen,-125.0,100.0,105.0,-0.131,2022-10-01
Brendan Allen,-110.0,175.0,200.0,0.332,2023-02-25
Brendan Allen,-200.0,-230.0,-190.0,0.091,2023-06-24
Brendan Allen,-275.0,-470.0,-435.0,0.307,2023-11-18
Brendan Allen,-278.0,-250.0,-210.0,-0.157,2024-04-06
Brendan Allen,140.0,165.0,185.0,-0.042,2024-09-28
Brendan Allen,164.0,250.0,270.0,-0.165,2025-02-23
Brendan Allen,-275.0,-275.0,-265.0,0.0069999999999999,2025-07-20
Brendan Allen,140.0,136.0,158.0,-0.008,2025-10-18
Brendan Loughnane,170.0,205.0,210.0,-0.004,2012-12-14
Brendan Marotte,300.0,360.0,500.0,-0.047,2023-10-14
Brendan O'Reilly,-165.0,-150.0,-135.0,0.055,2014-08-23
Brendan O'Reilly,110.0,115.0,120.0,0.034,2015-05-09
Brendan O'Reilly,325.0,385.0,415.0,-0.013,2016-03-19
Brendan O'Reilly,-130.0,130.0,155.0,0.272,2016-12-03
Brendan Schaub,180.0,150.0,150.0,0.108,2009-12-05
Brendan Schaub,-195.0,-260.0,-260.0,0.188,2010-03-21
Brendan Schaub,-290.0,-305.0,-305.0,-0.013,2010-07-03
Brendan Schaub,180.0,125.0,125.0,0.162,2010-10-23
Brendan Schaub,100.0,-245.0,-245.0,-0.42,2011-03-19
Brendan Schaub,-205.0,-250.0,-250.0,0.1969999999999999,2011-08-27
Brendan Schaub,-350.0,-215.0,-215.0,0.122,2012-04-21
Brendan Schaub,-120.0,-125.0,-105.0,0.083,2013-02-23
Brendan Schaub,-110.0,135.0,145.0,0.205,2013-09-21
Brendan Schaub,100.0,-150.0,-148.0,-0.1969999999999999,2014-06-14
Brendan Schaub,190.0,385.0,400.0,0.412,2014-12-06
Brendon Marotte,105.0,105.0,105.0,,2024-03-02
Brendon Marotte,600.0,1050.0,1300.0,0.451,2024-09-07
Brendson Ribeiro,-115.0,-110.0,110.0,0.065,2024-02-18
Brendson Ribeiro,350.0,240.0,310.0,0.042,2024-06-22
Brendson Ribeiro,140.0,120.0,170.0,-0.037,2024-11-03
Brendson Ribeiro,150.0,300.0,350.0,-0.265,2025-03-15
Brendson Ribeiro,330.0,450.0,550.0,0.262,2025-06-08
Brendson Ribeiro,275.0,400.0,475.0,0.309,2025-09-06
Brett Johns,-230.0,-220.0,-200.0,0.018,2016-11-19
Brett Johns,-270.0,-355.0,-350.0,0.256,2017-07-16
Brett Johns,-230.0,-180.0,-165.0,-0.08,2017-12-01
Brett Johns,-150.0,-110.0,-105.0,-0.114,2018-04-21
Brett Johns,115.0,170.0,175.0,0.212,2018-08-04
Brett Johns,-215.0,-130.0,-111.0,-0.382,2020-01-25
Brett Johns,140.0,200.0,235.0,-0.175,2020-07-18
Brian Bowles,-265.0,-310.0,-310.0,-0.0409999999999999,2011-03-03
Brian Bowles,-350.0,-315.0,-315.0,0.024,2011-07-02
Brian Bowles,155.0,164.0,164.0,0.034,2011-11-19
Brian Bowles,-380.0,-295.0,-290.0,0.0579999999999999,2013-05-25
